INN	Position_384	Num_plaque384	TEE
Flufenamic Acid	1	C3	PRC_0011
Clomipramine Hydrochloride	1	C4	PRC_0091
Valproic Acid	1	C5	PRC_0012
Fenoterol Hydrobromide	1	C6	PRC_0092
Nicotinamide	1	C7	PRC_0013
Pirenzepine Dihydrochloride	1	C8	PRC_0093
Chlorpropamide	1	C9	PRC_0014
Rolitetracycline	1	C10	PRC_0094
Ipriflavone	1	C11	PRC_0015
Cyproheptadine Hydrochloride	1	C12	PRC_0095
Etidronic Acid	1	C13	PRC_0016
Ethambutol Dihydrochloride	1	C14	PRC_0096
Cromolyn Sodium	1	C15	PRC_0017
3,5,5,-Trimethyloxazolidine-2,4-Dione	1	C16	PRC_0097
Raloxifene Hydrochloride	1	C17	PRC_0018
Tenoxicam	1	C18	PRC_0098
Carbinoxamine Maleate	1	C19	PRC_0019
Sodium Glycerophosphate Hydrate	1	C20	PRC_0020
Sulfacetamide Sodium	1	C21	PRC_0100
Theobromine	1	C22	PRC_0099
Midodrine Hydrochloride	1	D3	PRC_0171
			
Cyproheptadine Hydrochloride	1	D5	PRC_0172
Guaietolin	1	D6	PRC_0002
Nipecotic Acid	1	D7	PRC_0173
Glycerol	1	D8	PRC_0003
Mefentermine Hemisulfate	1	D9	PRC_0174
Naringin Hydrate	1	D10	PRC_0004
Triethanolamine	1	D11	PRC_0175
Alverine Citrate	1	D12	PRC_0005
Dropropizine	1	D13	PRC_0176
Sodium Clodronate	1	D14	PRC_0006
2-Aminobenzenesulfonamide	1	D15	PRC_0177
Chlorzoxazone	1	D16	PRC_0007
Flunarizine Dihydrochloride	1	D17	PRC_0178
Amantadine Hydrochloride	1	D18	PRC_0008
Sodium Phosphonoformate Tribasic Hexahydrate	1	D19	PRC_0179
Terbutaline Hemisulfate	1	D20	PRC_0009
Cloperastine Hydrochloride	1	D21	PRC_0180
Ethacrynic Acid	1	D22	PRC_0010
Dl-Aminoglutethimide	1	E3	PRC_0021
Trazodone Hydrochloride	1	E4	PRC_0101
Verapamil Hydrochloride	1	E5	PRC_0022
Disopyramide	1	E6	PRC_0102
Harmaline	1	E7	PRC_0023
Benfluorex Hydrochloride	1	E8	PRC_0103
Iodoquinol	1	E9	PRC_0024
Yohimbine Hydrochloride	1	E10	PRC_0104
Methazolamide	1	E11	PRC_0025
Trihexyphenidyl Hydrochloride	1	E12	PRC_0105
Riluzole	1	E13	PRC_0026
Tetracaine Hydrochloride	1	E14	PRC_0106
Piperazine Hexahydrate	1	E15	PRC_0027
Meclofenamic Acid Sodium	1	E16	PRC_0107
Albendazole	1	E17	PRC_0028
Ipratropium Bromide	1	E18	PRC_0108
Sparteine	1	E19	PRC_0029
Levofloxacin	1	E20	PRC_0109
Tetrahydrozoline Hydrochloride	1	E21	PRC_0030
Rauwolscine Hydrochloride	1	E22	PRC_0110
Captopril	1	F3	PRC_0181
Troxerutin	1	F4	PRC_0071
Benoxinate Hydrochloride	1	F5	PRC_0182
Chlorotrianisene	1	F6	PRC_0072
Homochlorcyclizine Dihydrochloride	1	F7	PRC_0183
Glipizide	1	F8	PRC_0073
Metaproterenol Hemisulfate	1	F9	PRC_0184
Selegiline Hcl	1	F10	PRC_0074
Mepyrapone	1	F11	PRC_0185
Famotidine	1	F12	PRC_0075
(+)-Camphor	1	F13	PRC_0186
Mephenesin	1	F14	PRC_0076
Benserazide Hydrochloride	1	F15	PRC_0187
Ranitidine Hydrochloride	1	F16	PRC_0077
Hydroxyurea	1	F17	PRC_0188
Ketorolac Tris	1	F18	PRC_0078
Succinic Acid	1	F19	PRC_0189
Hydroflumethiazide	1	F20	PRC_0079
Calcium Fluoride	1	F21	PRC_0190
			
Fenoprofen Calcium	1	G3	PRC_0031
Meticrane	1	G4	PRC_0111
N,N-Diethylnicotinamide	1	G5	PRC_0032
Dyclonine Hydrochloride	1	G6	PRC_0112
Harmane	1	G7	PRC_0033
Phenolphthalein	1	G8	PRC_0113
7-Hydroxyethyltheophylline	1	G9	PRC_0034
Trichlormethiazide	1	G10	PRC_0114
Dextromethorphan Hydrobromide	1	G11	PRC_0035
4-Chlorophenol	1	G12	PRC_0115
Berberine Chloride	1	G13	PRC_0036
Gemfibrozil	1	G14	PRC_0116
			
			
Pentamidine Isethionate	1	G17	PRC_0038
Astemizole	1	G18	PRC_0118
Phenylbutazone	1	G19	PRC_0039
Tolazamide	1	G20	PRC_0119
(S,R)-Noscapine	1	G21	PRC_0040
D-Penicillamine	1	G22	PRC_0120
4,4?-Diaminobenzophenone	1	H3	PRC_0191
			
Cefamandole Sodium	1	H5	PRC_0192
Ethylenediaminetetraacetic Acid Calcium Disodium	1	H6	PRC_0082
Adiphenine Hydrochloride	1	H7	PRC_0193
Diphenidol Hydrochloride	1	H8	PRC_0083
Gramine	1	H9	PRC_0194
Quinine	1	H10	PRC_0084
4-Biphenylacetic Acid	1	H11	PRC_0195
Thiamphenicol	1	H12	PRC_0085
5-Aminosalicylic Acid	1	H13	PRC_0196
Saccharin	1	H14	PRC_0086
			
Alprenolol Hydrochloride	1	H16	PRC_0087
Enalapril Maleate	1	H17	PRC_0198
Lorglumide Sodium	1	H18	PRC_0088
Dequalinium Chloride	1	H19	PRC_0199
Diloxanide Furoate	1	H20	PRC_0089
Neomycin Trisulfate Hydrate	1	H21	PRC_0200
Succinylsulfathiazole	1	H22	PRC_0090
2,2-Dihydroxy-4-Methoxybenzophenone	1	I3	PRC_0041
Fenofibrate	1	I4	PRC_0121
Nizatidine	1	I5	PRC_0042
Fenspiride Hydrochloride	1	I6	PRC_0122
Hexamethylenetetramine	1	I7	PRC_0043
Cinoxacin	1	I8	PRC_0123
			
			
Minaprine Dihydrochloride	1	I11	PRC_0045
Methapyrilene Hydrochloride	1	I12	PRC_0125
Furosemide	1	I13	PRC_0046
Naproxen	1	I14	PRC_0126
L-Arginine	1	I15	PRC_0047
4-Phenylbutyric Acid	1	I16	PRC_0127
Ibuprofen Sodium	1	I17	PRC_0048
Fenbufen	1	I18	PRC_0128
Flutamide	1	I19	PRC_0049
Fluphenazine Dihydrochloride	1	I20	PRC_0050
Metaraminol (+)-Bitartrate	1	I21	PRC_0130
Xylometazoline Hydrochloride	1	I22	PRC_0129
2,6-Diisopropylphenol	1	J3	PRC_0201
Cyclobenzaprine Hydrochloride	1	J4	PRC_0151
Famprofazone	1	J5	PRC_0202
Hydroxyzine Dihydrochloride	1	J6	PRC_0152
Diphenylpyraline	1	J7	PRC_0203
Diphenhydramine Hydrochloride	1	J8	PRC_0153
			
