		noyaux	noyaux	noyaux	noyaux
		Ch 1	Ch 1	Ch 1	Ch 1
		Area - µm2	Count	Form Factor	cv hoechst mean
Section	Target Set	Mean	Count	Mean	Mean
C - 3 (1)	Summary	81.854	2865	0.903	27.835
C - 4 (1)	Summary	85.158	2928	0.889	27.283
C - 5 (1)	Summary	78.521	2631	0.921	29.467
C - 6 (1)	Summary	86.090	2696	0.898	26.475
C - 7 (1)	Summary	84.805	2812	0.905	26.943
C - 8 (1)	Summary	89.214	2712	0.906	27.258
C - 9 (1)	Summary	85.732	2731	0.903	26.806
C - 10 (1)	Summary	85.000	2676	0.901	25.725
C - 11 (1)	Summary	85.365	2720	0.905	26.410
C - 12 (1)	Summary	87.522	2823	0.897	28.431
C - 13 (1)	Summary	83.014	2802	0.903	26.535
C - 14 (1)	Summary	92.356	2609	0.892	26.388
C - 15 (1)	Summary	90.246	2700	0.894	26.220
C - 16 (1)	Summary	89.130	2667	0.905	26.492
C - 17 (1)	Summary	80.012	1401	0.904	27.702
C - 18 (1)	Summary	87.141	2857	0.900	26.577
C - 19 (1)	Summary	104.689	1998	0.855	14.753
C - 20 (1)	Summary	119.407	2742	0.875	17.562
C - 21 (1)	Summary	79.819	2690	0.904	27.089
C - 22 (1)	Summary	85.088	2938	0.901	25.859
D - 3 (1)	Summary	84.228	2811	0.907	27.551
D - 4 (1)	Summary	85.636	2740	0.895	26.785
D - 5 (1)	Summary	90.086	2770	0.896	28.489
D - 6 (1)	Summary	87.161	2693	0.899	25.847
D - 7 (1)	Summary	85.751	2796	0.902	26.825
D - 8 (1)	Summary	87.692	2891	0.900	26.246
D - 9 (1)	Summary	89.194	2938	0.896	26.675
D - 10 (1)	Summary	87.074	2790	0.893	26.358
D - 11 (1)	Summary	87.701	2766	0.900	26.726
D - 12 (1)	Summary	85.226	2957	0.895	28.057
D - 13 (1)	Summary	85.430	2662	0.901	26.386
D - 14 (1)	Summary	83.966	2642	0.902	26.622
D - 15 (1)	Summary	85.978	2527	0.897	26.151
D - 16 (1)	Summary	88.827	2773	0.900	25.991
D - 17 (1)	Summary	91.039	2847	0.907	26.880
D - 18 (1)	Summary	88.151	2739	0.905	26.063
D - 19 (1)	Summary	87.244	2614	0.898	26.925
D - 20 (1)	Summary	86.053	2506	0.895	26.855
D - 21 (1)	Summary	87.921	2979	0.899	28.363
D - 22 (1)	Summary	94.481	2467	0.879	24.201
E - 3 (1)	Summary	84.415	2764	0.900	26.963
E - 4 (1)	Summary	86.154	2680	0.907	27.893
E - 5 (1)	Summary	83.866	2770	0.901	26.536
E - 6 (1)	Summary	87.718	2787	0.892	26.098
E - 7 (1)	Summary	110.027	2959	0.856	28.336
E - 8 (1)	Summary	91.618	2751	0.900	26.240
E - 9 (1)	Summary	84.224	2734	0.896	26.594
E - 10 (1)	Summary	84.615	2799	0.907	26.718
E - 11 (1)	Summary	120.884	2719	0.875	12.912
E - 12 (1)	Summary	88.786	2741	0.902	26.025
E - 13 (1)	Summary	89.543	2202	0.901	25.697
