Quantify Compound Summary Report 

Printed Mon Nov 02 09:07:45 2015

Compound 1:  Creatine-d3

	#	Name	RT	Area	Response	S/N	Vial
1	1	GWE004 6-52 TEE3 E1	0.23	15889.428	15889.428	2523.277	4:C,3
2	2	GWE004 6-52 TEE3 E2	0.23	16411.967	16411.967	2558.819	4:C,4
3	3	GWE004 6-52 TEE3 E3	0.23	18146.141	18146.141	316.520	4:C,5
4	4	GWE004 6-52 TEE3 E4	0.23	15054.999	15054.999	46736.636	4:C,6
5	5	GWE004 6-52 TEE3 E5	0.23	17254.602	17254.602	523.431	4:C,7
6	6	GWE004 6-52 TEE3 E6	0.23	18323.086	18323.086	5133.611	4:C,8
7	7	GWE004 6-52 TEE3 E7	0.23	16643.863	16643.863	1116.725	4:C,9
8	8	GWE004 6-52 TEE3 E8	0.23	15933.981	15933.981	202.662	4:C,10
9	9	GWE004 6-52 TEE3 E9	0.23	14207.764	14207.764	419.305	4:C,11
10	10	GWE004 6-52 TEE3 E10	0.23	21617.383	21617.383	14497.035	4:C,12
11	11	GWE004 6-52 TEE3 E11					4:C,13
12	12	GWE004 6-52 TEE3 E12	0.23	13532.946	13532.946	3117.089	4:C,14
13	13	GWE004 6-52 TEE3 E13	0.23	16760.723	16760.723	4508.293	4:C,15
14	14	GWE004 6-52 TEE3 E14	0.23	8103.107	8103.107	142.188	4:C,16
15	15	GWE004 6-52 TEE3 E15	0.23	12703.578	12703.578	1051.479	4:C,17
16	16	GWE004 6-52 TEE3 E16	0.23	12644.361	12644.361	9332.566	4:C,18
17	17	GWE004 6-52 TEE3 E17	0.23	13320.192	13320.192	1244.246	4:C,19
18	18	GWE004 6-52 TEE3 E18	0.23	15199.290	15199.290	19671.101	4:C,20
19	19	GWE004 6-52 TEE3 E19	0.23	649.710	649.710	36.995	4:C,21
20	20	GWE004 6-52 TEE3 E20	0.23	12152.701	12152.701	674.568	4:C,22
21	21	GWE004 6-52 TEE3 E21	0.23	14360.892	14360.892	579.479	4:D,3
22	22	GWE004 6-52 TEE3 E22	0.23	16388.613	16388.613	250.984	4:D,4
23	23	GWE004 6-52 TEE3 E23	0.23	16144.289	16144.289	1095.961	4:D,5
24	24	GWE004 6-52 TEE3 E24	0.23	18560.301	18560.301	15941.966	4:D,6
25	25	GWE004 6-52 TEE3 E25	0.23	16530.076	16530.076	230.882	4:D,7
26	26	GWE004 6-52 TEE3 E26	0.23	25098.172	25098.172	397.410	4:D,8
27	27	GWE004 6-52 TEE3 E27	0.23	14054.099	14054.099	1004.013	4:D,9
28	28	GWE004 6-52 TEE3 E28	0.23	16117.604	16117.604	652.966	4:D,10
29	29	GWE004 6-52 TEE3 E29	0.23	14734.610	14734.610	325.927	4:D,11
30	30	GWE004 6-52 TEE3 E30	0.23	15125.191	15125.191	560.121	4:D,12
31	31	GWE004 6-52 TEE3 E31	0.23	14497.120	14497.120	403.075	4:D,13
32	32	GWE004 6-52 TEE3 E32	0.23	15724.923	15724.923	2559.665	4:D,14
33	33	GWE004 6-52 TEE3 E33	0.23	15139.520	15139.520	483.607	4:D,15
34	34	GWE004 6-52 TEE3 E34	0.23	13491.241	13491.241	6339.502	4:D,16
35	35	GWE004 6-52 TEE3 E35	0.23	12724.750	12724.750	1520.911	4:D,17
36	36	GWE004 6-52 TEE3 E36	0.23	13495.079	13495.079	11094.634	4:D,18
37	37	GWE004 6-52 TEE3 E37	0.23	13501.926	13501.926	291.189	4:D,19
38	38	GWE004 6-52 TEE3 E38	0.23	12303.708	12303.708	7774.730	4:D,20
39	39	GWE004 6-52 TEE3 E39	0.23	2285.725	2285.725	67.233	4:D,21
40	40	GWE004 6-52 TEE3 E40	0.23	12490.928	12490.928	11561.023	4:D,22
41	41	GWE004 6-52 TEE3 E41	0.23	28819.834	28819.834	1335.672	4:E,3
42	42	GWE004 6-52 TEE3 E42	0.23	15254.331	15254.331	20076.688	4:E,4
43	43	GWE004 6-52 TEE3 E43	0.23	12140.457	12140.457	5983.762	4:E,5
44	44	GWE004 6-52 TEE3 E44	0.23	17231.551	17231.551	11073.618	4:E,6
45	45	GWE004 6-52 TEE3 E45	0.23	11774.496	11774.496	810.943	4:E,7
46	46	GWE004 6-52 TEE3 E46	0.23	10830.360	10830.360	1465.791	4:E,8
47	47	GWE004 6-52 TEE3 E47	0.23	14843.396	14843.396	3040.845	4:E,9
48	48	GWE004 6-52 TEE3 E48	0.23	13672.481	13672.481	2166.436	4:E,10
49	49	GWE004 6-52 TEE3 E49	0.23	15328.168	15328.168	366.116	4:E,11
50	50	GWE004 6-52 TEE3 E50	0.23	14193.248	14193.248	1619.271	4:E,12
51	51	GWE004 6-52 TEE3 E51	0.23	14805.724	14805.724	5298.678	4:E,13
52	52	GWE004 6-52 TEE3 E52	0.23	14189.551	14189.551	353.275	4:E,14
53	53	GWE004 6-52 TEE3 E53	0.23	14787.696	14787.696	284.399	4:E,15
54	54	GWE004 6-52 TEE3 E54	0.23	12399.706	12399.706	391.088	4:E,16
55	55	GWE004 6-52 TEE3 E55	0.23	12753.512	12753.512	395.578	4:E,17
56	56	GWE004 6-52 TEE3 E56	0.23	13786.083	13786.083	754.104	4:E,18
57	57	GWE004 6-52 TEE3 E57	0.23	99.357	99.357	12.468	4:E,19
58	58	GWE004 6-52 TEE3 E58	0.23	12088.605	12088.605	149.167	4:E,20
59	59	GWE004 6-52 TEE3 E59	0.23	10768.396	10768.396	333.983	4:E,21
60	60	GWE004 6-52 TEE3 E60	0.23	13040.586	13040.586	485.399	4:E,22
61	61	GWE004 6-52 TEE3 E61	0.23	9855.723	9855.723	6457.642	4:F,3
62	62	GWE004 6-52 TEE3 E62	0.23	18387.697	18387.697	142.138	4:F,4
63	63	GWE004 6-52 TEE3 E63	0.23	13559.724	13559.724	12834.043	4:F,5
64	64	GWE004 6-52 TEE3 E64	0.23	19473.744	19473.744	434.332	4:F,6
65	65	GWE004 6-52 TEE3 E65	0.23	16321.873	16321.873	338.823	4:F,7
66	66	GWE004 6-52 TEE3 E66	0.23	13991.866	13991.866	825.244	4:F,8
67	67	GWE004 6-52 TEE3 E67	0.23	17137.646	17137.646	15201.591	4:F,9
68	68	GWE004 6-52 TEE3 E68	0.23	14565.697	14565.697	303.554	4:F,10
69	69	GWE004 6-52 TEE3 E69	0.23	14970.037	14970.037	122.596	4:F,11
70	70	GWE004 6-52 TEE3 E70	0.23	12600.978	12600.978	2518.317	4:F,12
71	71	GWE004 6-52 TEE3 E71	0.23	14321.326	14321.326	6546.132	4:F,13
72	72	GWE004 6-52 TEE3 E72	0.23	18210.146	18210.146	409.739	4:F,14
73	73	GWE004 6-52 TEE3 E73	0.23	15240.396	15240.396	8466.480	4:F,15
74	74	GWE004 6-52 TEE3 E74	0.23	13022.995	13022.995	1030.096	4:F,16
75	75	GWE004 6-52 TEE3 E75	0.23	8801.199	8801.199	446.896	4:F,17
